date,price
"Dec 31, 2019",12168.45
"Dec 30, 2019",12255.85
"Dec 27, 2019",12245.8
"Dec 26, 2019",12126.55
"Dec 24, 2019",12214.55
"Dec 23, 2019",12262.75
"Dec 20, 2019",12271.8
"Dec 19, 2019",12259.7
"Dec 18, 2019",12221.65
"Dec 17, 2019",12165.0
"Dec 16, 2019",12053.95
"Dec 13, 2019",12086.7
"Dec 12, 2019",11971.8
"Dec 11, 2019",11910.15
"Dec 10, 2019",11856.8
"Dec 09, 2019",11937.5
"Dec 06, 2019",11921.5
"Dec 05, 2019",12018.4
"Dec 04, 2019",12043.2
"Dec 03, 2019",11994.2
"Dec 02, 2019",12048.2
"Nov 29, 2019",12056.05
"Nov 28, 2019",12151.15
"Nov 27, 2019",12100.7
"Nov 26, 2019",12037.7
"Nov 25, 2019",12073.75
"Nov 22, 2019",11914.4
"Nov 21, 2019",11968.4
"Nov 20, 2019",11999.1
"Nov 19, 2019",11940.1
"Nov 18, 2019",11884.5
"Nov 15, 2019",11895.45
"Nov 14, 2019",11872.1
"Nov 13, 2019",11840.45
"Nov 11, 2019",11913.45
"Nov 08, 2019",11908.15
"Nov 07, 2019",12012.05
"Nov 06, 2019",11966.05
"Nov 05, 2019",11917.2
"Nov 04, 2019",11941.3
"Nov 01, 2019",11890.6
"Oct 31, 2019",11877.45
"Oct 30, 2019",11844.1
"Oct 29, 2019",11786.85
"Oct 25, 2019",11583.9
"Oct 24, 2019",11582.6
"Oct 23, 2019",11604.1
"Oct 22, 2019",11588.35
"Oct 18, 2019",11661.85
"Oct 17, 2019",11586.35
"Oct 16, 2019",11464.0
"Oct 15, 2019",11428.3
"Oct 14, 2019",11341.15
"Oct 11, 2019",11305.05
"Oct 10, 2019",11234.55
"Oct 09, 2019",11313.3
"Oct 07, 2019",11126.4
"Oct 04, 2019",11174.75
"Oct 03, 2019",11314.0
"Oct 01, 2019",11359.9
"Sep 30, 2019",11474.45
"Sep 27, 2019",11512.4
"Sep 26, 2019",11571.2
"Sep 25, 2019",11440.2
"Sep 24, 2019",11588.2
"Sep 23, 2019",11600.2
"Sep 20, 2019",11274.2
"Sep 19, 2019",10704.8
"Sep 18, 2019",10840.65
"Sep 17, 2019",10817.6
"Sep 16, 2019",11003.5
"Sep 13, 2019",11075.9
"Sep 12, 2019",10982.8
"Sep 11, 2019",11035.7
"Sep 09, 2019",11003.05
"Sep 06, 2019",10946.2
"Sep 05, 2019",10847.9
"Sep 04, 2019",10844.65
"Sep 03, 2019",10797.9
"Aug 30, 2019",11023.25
"Aug 29, 2019",10948.3
"Aug 28, 2019",11046.1
"Aug 27, 2019",11105.35
"Aug 26, 2019",11057.85
"Aug 23, 2019",10829.35
"Aug 22, 2019",10741.35
"Aug 21, 2019",10918.7
"Aug 20, 2019",11017.0
"Aug 19, 2019",11053.9
"Aug 16, 2019",11047.8
"Aug 14, 2019",11029.4
"Aug 13, 2019",10925.85
"Aug 09, 2019",11109.65
"Aug 08, 2019",11032.45
"Aug 07, 2019",10855.5
"Aug 06, 2019",10948.25
"Aug 05, 2019",10862.6
"Aug 02, 2019",10997.35
"Aug 01, 2019",10980.0
"Jul 31, 2019",11118.0
"Jul 30, 2019",11085.4
"Jul 29, 2019",11189.2
"Jul 26, 2019",11284.3
"Jul 25, 2019",11252.15
"Jul 24, 2019",11271.3
"Jul 23, 2019",11331.05
"Jul 22, 2019",11346.2
"Jul 19, 2019",11419.25
"Jul 18, 2019",11596.9
"Jul 17, 2019",11687.5
"Jul 16, 2019",11662.6
"Jul 15, 2019",11588.35
"Jul 12, 2019",11552.5
"Jul 11, 2019",11582.9
"Jul 10, 2019",11498.9
"Jul 09, 2019",11555.9
"Jul 08, 2019",11558.6
"Jul 05, 2019",11811.15
"Jul 04, 2019",11946.75
"Jul 03, 2019",11916.75
"Jul 02, 2019",11910.3
"Jul 01, 2019",11865.6
"Jun 28, 2019",11788.85
"Jun 27, 2019",11841.55
"Jun 26, 2019",11847.55
"Jun 25, 2019",11796.45
"Jun 24, 2019",11699.65
"Jun 21, 2019",11724.1
"Jun 20, 2019",11831.75
"Jun 19, 2019",11691.45
"Jun 18, 2019",11691.5
"Jun 17, 2019",11672.15
"Jun 14, 2019",11823.3
"Jun 13, 2019",11914.05
"Jun 12, 2019",11906.2
"Jun 11, 2019",11965.6
"Jun 10, 2019",11922.7
"Jun 07, 2019",11870.65
"Jun 06, 2019",11843.75
"Jun 04, 2019",12021.65
"Jun 03, 2019",12088.55
"May 31, 2019",11922.8
"May 30, 2019",11945.9
"May 29, 2019",11861.1
"May 28, 2019",11928.75
"May 27, 2019",11924.75
"May 24, 2019",11844.1
"May 23, 2019",11657.05
"May 22, 2019",11737.9
"May 21, 2019",11709.1
"May 20, 2019",11828.25
"May 17, 2019",11407.15
"May 16, 2019",11257.1
"May 15, 2019",11157.0
"May 14, 2019",11222.05
"May 13, 2019",11148.2
"May 10, 2019",11278.9
"May 09, 2019",11301.8
"May 08, 2019",11359.45
"May 07, 2019",11497.9
"May 06, 2019",11598.25
"May 03, 2019",11712.25
"May 02, 2019",11724.75
"Apr 30, 2019",11748.15
"Apr 26, 2019",11754.65
"Apr 25, 2019",11641.8
"Apr 24, 2019",11726.15
"Apr 23, 2019",11575.95
"Apr 22, 2019",11594.45
"Apr 18, 2019",11752.8
"Apr 16, 2019",11787.15
"Apr 15, 2019",11690.35
"Apr 12, 2019",11643.45
"Apr 11, 2019",11596.7
"Apr 10, 2019",11584.3
"Apr 09, 2019",11671.95
"Apr 08, 2019",11604.5
"Apr 05, 2019",11665.95
"Apr 04, 2019",11598.0
"Apr 03, 2019",11643.95
"Apr 02, 2019",11713.2
"Apr 01, 2019",11669.15
"Mar 29, 2019",11623.9
"Mar 28, 2019",11570.0
"Mar 27, 2019",11445.05
"Mar 26, 2019",11483.25
"Mar 25, 2019",11354.25
"Mar 22, 2019",11456.9
"Mar 20, 2019",11521.05
"Mar 19, 2019",11532.4
"Mar 18, 2019",11462.2
"Mar 15, 2019",11426.85
"Mar 14, 2019",11343.25
"Mar 13, 2019",11341.7
"Mar 12, 2019",11301.2
"Mar 11, 2019",11168.05
"Mar 08, 2019",11035.4
"Mar 07, 2019",11058.2
"Mar 06, 2019",11053.0
"Mar 05, 2019",10987.45
"Mar 01, 2019",10863.5
"Feb 28, 2019",10792.5
"Feb 27, 2019",10806.65
"Feb 26, 2019",10835.3
"Feb 25, 2019",10880.1
"Feb 22, 2019",10791.65
"Feb 21, 2019",10789.85
"Feb 20, 2019",10735.45
"Feb 19, 2019",10604.35
"Feb 18, 2019",10640.95
"Feb 15, 2019",10724.4
"Feb 14, 2019",10746.05
"Feb 13, 2019",10793.65
"Feb 12, 2019",10831.4
"Feb 11, 2019",10888.8
"Feb 08, 2019",10943.6
"Feb 07, 2019",11069.4
"Feb 06, 2019",11062.45
"Feb 05, 2019",10934.35
"Feb 04, 2019",10912.25
"Feb 01, 2019",10893.65
"Jan 31, 2019",10830.95
"Jan 30, 2019",10651.8
"Jan 29, 2019",10652.2
"Jan 28, 2019",10661.55
"Jan 25, 2019",10780.55
